""	"AQ190"	"AQ421"	"AQ733"	"AQ501"	"AQ707"	"AQ397"	"AQ605"	"AQ164"	"AQ112"	"AQ838"	"AQ812"	"AQ34"	"AQ681"	"AQ449"
"New.0.ReferenceOTU791"	0	0	269	0	2	1	1	0	1	100	984	0	1086	0
"New.0.ReferenceOTU445"	0	0	13	1	0	0	0	0	0	1	9	0	0	0
"New.0.ReferenceOTU453"	5	0	25	0	0	0	0	2	0	2	22	4	1	0
"New.0.ReferenceOTU100"	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU428"	2	0	10	0	0	3	1	8	2	0	20	1	11	0
"New.0.ReferenceOTU421"	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"New.0.ReferenceOTU427"	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU216"	0	0	0	7	0	1687	54	0	0	0	0	1	11	1556
"New.0.ReferenceOTU358"	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU359"	11	0	0	0	1	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU800"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.ReferenceOTU678"	0	0	1	0	0	0	0	2	0	4	26	1	6	0
"New.0.ReferenceOTU568"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU252"	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"New.0.ReferenceOTU411"	1	0	0	1	0	0	0	3	0	0	0	0	0	0
"New.0.ReferenceOTU41"	1	0	93	0	0	1	0	0	0	4	30	0	10	0
"New.0.ReferenceOTU43"	992	0	101	0	1	1	1	1758	4	129	665	1127	279	0
"New.0.ReferenceOTU325"	2	0	8	0	0	0	0	3	0	0	6	1	8	1
"New.0.ReferenceOTU324"	0	0	1	0	0	1	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU739"	2	0	2	0	0	0	0	1	0	0	0	0	1	0
"New.0.ReferenceOTU34"	0	0	0	0	0	0	0	0	0	2	0	0	1	0
"New.0.ReferenceOTU103"	0	0	35	0	0	1	0	0	0	3	17	0	0	0
"New.0.ReferenceOTU37"	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"New.0.ReferenceOTU31"	0	0	1	0	0	0	0	1	0	0	4	0	0	0
"New.0.ReferenceOTU745"	0	22	0	7	35	0	0	1	3	1	0	0	1	0
"New.0.ReferenceOTU647"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.ReferenceOTU111"	0	0	0	0	0	0	0	1	0	5	2	0	0	0
"New.0.ReferenceOTU169"	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"New.0.ReferenceOTU168"	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"New.0.ReferenceOTU165"	0	0	2	0	0	0	0	0	0	0	1	0	0	0
"New.0.ReferenceOTU167"	0	0	2	0	0	0	0	0	0	0	0	0	2	0
"New.0.ReferenceOTU161"	0	0	0	15	0	1286	141	0	0	1	3	1	0	1658
"New.0.ReferenceOTU162"	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"New.0.ReferenceOTU369"	0	0	0	0	0	0	0	0	8	0	0	0	0	0
"New.0.ReferenceOTU680"	0	0	0	23	0	0	1	2	4	0	0	0	0	0
"New.0.ReferenceOTU75"	0	0	0	0	0	0	0	0	0	0	4	0	0	0
"New.0.ReferenceOTU709"	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"New.0.ReferenceOTU703"	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"New.0.ReferenceOTU509"	0	0	0	0	0	0	0	0	0	0	0	0	4	0
